CEEB Code,School Name,City,State,Postcode
800050,AUTEC SCHOOL,FPO,AA,34058 0051
820011,ROCKY VIEW VIRTUAL SCHOOL,AIRDRIE,AB,T4B 0J4
820013,GEORGE MCDOUGALL HIGH SCHOOL,AIRDRIE,AB,T4B 1R7
820021,BERT CHURCH HIGH SCHOOL,AIRDRIE,AB,T4A 2A3
820015,ANDREW SCHOOL,ANDREW,AB,T0B 0C0
820017,ARDROSSAN JR-SR HIGH SCHOOL,ARDROSSAN,AB,T8A 5E8
820016,BANFF COMMUNITY HIGH SCHOOL,BANFF,AB,T1L 1K1
820020,BASSANO SCHOOL,BASSANO,AB,T0J 0B0
820026,ECOLE SECONDAIRE BEAUMONT,BEAUMONT,AB,T4X 1K1
820024,OILFIELDS HIGH SCHOOL BLK,DIAMOND,AB,T0L 0H0
820032,BONNYVILLE CENTRALIZED HS,BONNYVILLE,AB,T9N 0B4
820031,SENATOR GERSHAW SCHOOL BOW,ISLAND,AB,T0K 0G0
820033,BOWDEN-GRANDVIEW SCHOOL,BOWDEN,AB,T0M 0K0
821107,BOYLE SCHOOL,BOYLE,AB,T0A 0M0
820045,BROOKS COMPOSITE HIGH SCHOOL,BROOKS,AB,T1R 0Z4
820809,ST JOSEPHS COLLEGIATE,BROOKS,AB,T1R 0V8
820008,CHINESE ACADEMY,CALGARY,AB,T2K 1C2
820023,BISHOP CARROLL HIGH SCHOOL,CALGARY,AB,T3E 6L1
820025,BISHOP GRANDIN HIGH SCHOOL,CALGARY,AB,T2V 2Y2
820051,ARGYLL CENTRE CALGARY CAMPUS,CALGARY,AB,T2A 7M2
820054,BISHOP O BYRNE HIGH SCHOOL,CALGARY,AB,T2Y 4H3
820055,BOWNESS SENIOR HIGH SCHOOL,CALGARY,AB,T3B 2N6
820056,BEARSPAW CHRISTIAN SCHOOL COLL,CALGARY,AB,T3R 1C5
820059,CALGARY SOCIETY EFFECTIVE EDUC,CALGARY,AB,T3H 0R3
820060,BISHOP MCNALLY HIGH SCHOOL,CALGARY,AB,T3J 3N4
820061,CENTRAL MEMORIAL HIGH SCHOOL,CALGARY,AB,T3E 1R9
820062,CALGARY CHRISTIAN SCHOOL,CALGARY,AB,T3E 0R5
820065,CHESTERMERE HIGH SCHOOL,CALGARY,AB,T2P 2G7
820067,CLEAR WATER ACADEMY,CALGARY,AB,T3E 7J9
820075,CRESCENT HEIGHTS HIGH SCHOOL,CALGARY,AB,T2M 2S2
820077,DELTA WEST ACADEMY,CALGARY,AB,T2E 4P3
820079,DR E P SCARLETT HIGH SCHOOL,CALGARY,AB,T2W 1H4
820080,ERNEST MANNING HIGH SCHOOL,CALGARY,AB,T3H 0N7
820081,EDGE SCHOOL,CALGARY,AB,T3Z 1L4
820082,FATHER LACOMBE HIGH SCHOOL,CALGARY,AB,T2A 6B4
820084,FOUNDATIONS FOR THE FUTURE HS,CALGARY,AB,T3B 1C7
820085,FOREST LAWN HIGH SCHOOL,CALGARY,AB,T2A 1M8
820090,HENRY WISE WOOD HIGH SCHOOL,CALGARY,AB,T2V 0S6
820100,JAMES FOWLER HIGH SCHOOL,CALGARY,AB,T2K 1A1
820101,JOHN G DIEFENBAKER HIGH SCHOOL,CALGARY,AB,T2K 1C2
820102,LESTER B PEARSON SR HS,CALGARY,AB,T1Y 5P4
820103,LORD BEAVERBROOK SR HS,CALGARY,AB,T2H 0Z4
820121,MOUNTAIN VIEW ACADEMY,CALGARY,AB,T3E 7K9
820127,NATIONAL SPORT SCHOOL,CALGARY,AB,T3B 5R5
820129,FOOTHILLS ACADEMY,CALGARY,AB,T2N 4T1
820135,QUEEN ELIZABETH SR HIGH SCHOOL,CALGARY,AB,T2N 2G5
820139,RUNDLE COLLEGE,CALGARY,AB,T3H 3W5
820145,SAINT FRANCIS HIGH SCHOOL,CALGARY,AB,T2L 0A3
820150,SAINT MARY'S HIGH SCHOOL,CALGARY,AB,T2S 0B8
820160,SIR WINSTON CHURCHILL HS,CALGARY,AB,T2L 2J6
820185,SPRINGBANK COMMUNITY HS,CALGARY,AB,T3Z 2L9
820220,NOTRE DAME HIGH SCHOOL,CALGARY,AB,T3K 6E4
820223,CALGARY FRENCH & INTL SCHOOL,CALGARY,AB,T3H 5R1
820224,WEST ISLAND COLLEGE,CALGARY,AB,T2H 1M5
820225,WESTERN CANADA HIGH SCHOOL,CALGARY,AB,T2S 0B5
820226,COMMUNITY CONTINUING EDUCATION,CALGARY,AB,T3E 4M2
820227,WESTMOUNT CHARTER SCHOOL,CALGARY,AB,T2N 4Y3
820240,WILLIAM ABERHART HIGH SCHOOL,CALGARY,AB,T2M 4G9
820242,WEBBER ACADEMY,CALGARY,AB,T3H 4A8
820246,CENTENNIAL HIGH SCHOOL,CALGARY,AB,T2X 3W7
821045,MASTERS ACADEMY AND COLLEGE,CALGARY,AB,T2T 5J4
820244,ROBERT THIRSK HIGH SCHOOL,CALGARY,AB,T3G 5T3
820247,BANBURY CROSSROADS SCHOOL,CALGARY,AB,T3E 7K1
820138,RENERT SCHOOL,CALGARY,AB,T3R 0K4
820009,NELSON MANDELA HIGH SCHOOL,CALGARY,AB,T3J 4W3
820010,SCHOOL OF ALBERTA BALLET,CALGARY,AB,T2R 1K7
820108,ALL SAINTS HIGH SCHOOL,CALGARY,AB,T2X 4K9
820111,JOANE CARDINAL-SCHUBERT HS,CALGARY,AB,T3M 2P9
820250,BATTLE RIVER ONLINE,CAMROSE,AB,T4V 0K4
820270,CAMROSE COMPOSITE HIGH SCHOOL,CAMROSE,AB,T4V 0K4
820280,CANMORE COLLEGIATE HIGH SCHOOL,CANMORE,AB,T1W 1Y2
820300,CARDSTON HIGH SCHOOL,CARDSTON,AB,T0K 0K0
820312,HOPE CHRISTIAN SCHOOL,CHAMPION,AB,T0L 0R0
825208,ST GABRIEL THE ARCHANGEL,CHESTERMERE,AB,T1X 1M7
820320,WILLOW CREEK COMPOSITE HS,CLARESHOLM,AB,T0L 0T0
820325,KATE ANDREWS HIGH SCHOOL,COALDALE,AB,T1M 1L9
